StatBezirkNr;Statistischer Bezirk;Wohnungen mit einem Wohnraum;Wohnungen mit 2 Wohnr�umen;Wohnungen mit 3 Wohnr�umen;Wohnungen mit 4 Wohnr�umen;Wohnungen mit 5 Wohnr�umen;Wohnungen mit 6 Wohnr�umen;Wohnungen mit 7 Wohnr�umen;Wohnungen mit mehr als 7 Wohnr�umen;Wohnungen mit unbekannter Anzahl an Wohnr�umen
1;Innere Stadt;3856;5254;4146;1850;559;177;51;48;229
2;Urfahr;2565;4937;4395;1874;692;215;82;70;200
3;P�stlingberg;148;415;685;613;325;190;61;89;25
4;St. Magdalena;794;1372;2379;1437;534;222;56;67;53
5;Dornach-Auhof;684;1101;1179;527;175;82;18;15;18
6;Kaplanhof;1398;1958;1905;501;138;19;11;14;45
7;Franckviertel;880;2009;949;253;55;24;6;5;58
8;Bulgariplatz;2267;3263;2572;837;135;43;18;14;91
9;Froschberg;893;2085;1929;1210;506;225;118;143;93
10;Bindermichl-Keferfeld;1864;3083;3444;1691;512;255;53;43;76
11;Spallerhof;1190;2298;2152;920;284;83;39;34;78
12;Neue Heimat;1544;2311;1887;795;195;72;38;28;89
13;Kleinm�nchen-Auwiesen;1911;3322;3852;1383;294;118;39;38;103
14;Industriegebiet-Hafen;14;4;7;7;5;0;2;2;1
15;Ebelsberg;292;1340;2315;652;223;81;32;39;33
16;Pichling;139;816;1133;850;359;240;77;44;20
