Bezeichnung;Klassen;Schüler;Schülerinnen
Neue Mittelschule 3, Stelzhamerschule (Figulystraße 15) ;12;150;122
Neue Mittelschule 5, Otto-Glöckel-Schule (Dürrnbergerstraße 1-3) ;15;176;133
Neue Mittelschule 10, Löwenfeldschule (Zeppelinstraße 44) ;13;146;123
Neue Mittelschule 11, Diesterwegschule (Khevenhüllerstraße 3) ;11;133;104
Neue Mittelschule 12, Linz Harbach (In der Aichwiesen 16) ;10;86;128
Neue Mittelschule 14, Spallerhofschule (Tungassingerstraße 23) ;11;121;97
Neue Mittelschule 15, Leonardo da Vinci (Jahnstraße 3-5) ;8;82;108
Neue Mittelschule 17, Dr.-Karl-Renner-Schule (Flötzerweg 88) ;13;152;157
Neue Mittelschule 18, Dr.-Karl-Renner-Schule (Flötzerweg 88) ;13;152;127
Neue Mittelschule 22, Dr.-Ernst-Koref-Schule (Ramsauerstraße 61) ;12;119;157
Neue Mittelschule 23, Ebelsbergschule (Ebelsberger Schloßweg 26) ;9;121;68
Hauptschule 24, Auhofschule (Aubrunnerweg 43) ;0;0;0
Neue Mittelschule 26, F.-Hüttner-Schule (Wieningerstraße 15) ;10;126;85
Neue Mittelschule 27, B.-v.-Suttner-Schule (Dornacher Straße 35) ;8;110;70
Sport-Neue Mittelschule Linz-Kleinmünchen (Meindlstraße 25);12;191;60
Neue Praxismittelschule Europaschule der Pädagogischen Hochschule OÖ (Lederergasse 35);8;97;91
Neue Mittelschule der Franziskanerinnen (Brucknerstraße 8);10;94;143
Neue Mittelschule des Schulvereins der Kreuzschwestern (Stockhofstraße 10);8;89;91
Neue Praxismittelschule der Pädagogischen Hochschule der Diözese (Salesianumweg 5);8;95;96
Adventistische Neue Mittelschule (Grünauerstraße 20);1;2;7
