Bezeichnung;Klassen;Sch¸ler;Sch¸lerinnen
Volksschule 1, Stelzhamerschule (Tegetthoffstraﬂe 23) ;5;40;54
Volksschule 2, B.-v.-Suttner-Schule (Dornacherstraﬂe 33) ;9;92;69
Volksschule 3, Auwiesenschule (Allendeplatz 1) ;15;157;146
Volksschule 4, Mozartschule (Volksfeststraﬂe 7-11) ;9;95;85
Volksschule 6, Rˆmerbergschule (Donatusgasse 3a) ;7;82;76
Volksschule 8, Goetheschule (S¸dtirolerstraﬂe 13) ;9;103;89
Volksschule 9, Froschbergschule (Ziegeleistraﬂe 29) ;5;52;48
Volksschule 10, Grillparzerschule (Grillparzerstraﬂe 49) ;13;133;126
Volksschule 12, Otto-Glˆckel-Schule (Wiener Straﬂe 42) ;11;128;112
Volksschule 14, Weberschule (Webergasse 1) ;7;55;61
Volksschule 16, Jahnschule (Jahnstraﬂe 7) ;6;44;44
Volksschule 17, Lˆwenfeldschule (Zeppelinstraﬂe 44) ;14;160;122
Volksschule 20, Diesterwegschule (Khevenh¸llerstraﬂe 3) ;11;110;109
Volksschule 21, Spallerhofschule (Tungassingerstraﬂe 23) ;10;89;101
Volksschule 23, Dr.-Adolf-Sch‰rf-Schule (Resselstraﬂe 8) ;13;143;151
Volksschule 26, Harbachschule (Keplerstraﬂe 11) ;14;141;114
Volksschule 28, Dr.-Karl-Renner-Schule (Flˆtzerweg 61) ;14;137;137
Volksschule 30, Dr.-Ernst-Koref-Schule (Ramsauerstraﬂe 61) ;13;120;136
Volksschule 32, Keferfeldschule (Seeauerweg 1) ;9;104;85
Volksschule 33, Dorfhalleschule (Franckstraﬂe 70) ;11;101;102
Volksschule 35, Siemensschule (Siemensstraﬂe 58) ;17;190;146
Volksschule 37, Karlhofschule (Hˆlderlinstraﬂe 9) ;15;151;159
Volksschule 39, Margarethenschule (Margarethen 23) ;4;36;28
Volksschule 40, Volksschule Dornach (Mengerstraﬂe 25) ;9;97;80
Volksschule 41, Pˆstlingbergschule (Samhaberstraﬂe 48) ;4;38;43
Volksschule 42, Magdalenaschule (Oberbairinger Straﬂe 1) ;8;101;68
Volksschule 43, Stadlerschule (Stadlerstraﬂe 45) ;10;103;86
Volksschule 44, Pichling (Rathfeldstraﬂe 69) ;10;119;85
Volksschule 45, Hausleitnerweg (Hausleitnerweg 52) ;10;109;99
Volksschule 46, Theodor-Grill-Schule (Scharm¸hlwinkel 3) ;12;111;107
Volksschule 47, Dr.-Adolf-Sch‰rf-Schule (Resselstraﬂe 4-6) ;13;124;103
Volksschule 48, Edmund-Aigner-Schule (H‰ndelstraﬂe 42) ;9;90;67
Volksschule 49, Robinson-Schule (Kaltenhauserstraﬂe 2) ;11;101;92
Volksschule 50, F.-H¸ttner-Schule (Wieningerstraﬂe 17) ;12;116;88
Volksschule 51, Auhofschule (Aubrunnerweg 43) ;4;39;32
Volksschule 52, solarCity-Pichling (Heliosallee 140-142) ;13;119;117
Praxisvolksschule Europaschule der P‰dagogischen Hochschule O÷ (Lederergasse 35);8;100;89
Volksschule der Franziskanerinnen (Brucknerstraﬂe 8);8;71;121
Volksschule des Schulvereins der Kreuzschwestern (Stockhofstraﬂe 10);8;95;98
Praxisvolksschule der P‰dagogischen Hochschule der Diˆzese (Kapuzinerstraﬂe 51);9;101;95
Adventistische Volksschule (Gr¸nauerstraﬂe 20);1;4;0
