StatBezirkNr;Statistischer Bezirk;Wohnungen mit bis zu 20 m² Nutzfläche;Wohnungen mit 21-40 m² Nutzfläche;Wohnungen mit 41-60 m² Nutzfläche;Wohnungen mit 61-80 m² Nutzfläche;Wohnungen mit 81-100 m² Nutzfläche;Wohnungen mit 101-130 m² Nutzfläche;Wohnungen mit mehr als 130 m² Nutzfläche;Wohnungen mit unbekannter Nutzfläche
1;Innere Stadt;174 ;2546 ;4465 ;4137 ;2556 ;1347 ;705 ;240
2;Urfahr;95 ;1896 ;4248 ;5047 ;2108 ;960 ;505 ;171
3;Pöstlingberg;2 ;101 ;309 ;513 ;539 ;582 ;472 ;33
4;St. Magdalena;25 ;521 ;1095 ;2011 ;1740 ;1000 ;473 ;49
5;Dornach-Auhof;38 ;421 ;709 ;1353 ;710 ;412 ;138 ;18
6;Kaplanhof;27 ;828 ;2048 ;1704 ;1054 ;220 ;64 ;44
7;Franckviertel;30 ;1030 ;1778 ;1058 ;235 ;52 ;19 ;37
8;Bulgariplatz;50 ;1665 ;2402 ;3220 ;1366 ;347 ;112 ;78
9;Froschberg;34 ;769 ;1867 ;1649 ;1200 ;918 ;667 ;98
10;Bindermichl-Keferfeld;40 ;687 ;2925 ;3783 ;2365 ;839 ;329 ;53
11;Spallerhof;17 ;642 ;2220 ;2512 ;1091 ;381 ;163 ;52
12;Neue Heimat;46 ;771 ;1856 ;2737 ;1062 ;277 ;165 ;45
13;Kleinmünchen-Auwiesen;42 ;929 ;3675 ;4148 ;1513 ;463 ;214 ;76
14;Industriegebiet-Hafen;2 ;9 ;7 ;3 ;10 ;3 ;7 ;1
15;Ebelsberg;7 ;149 ;966 ;2403 ;1011 ;278 ;167 ;26
16;Pichling;5 ;54 ;441 ;939 ;1086 ;712 ;406 ;35
